,id,name,area,description,experience,schedule,employment,employer,key_skills,published_at,salary_from,salary_to,currency
0,80926184,Внутренний аудитор,Шымкент,"<strong>Обязанности:</strong> <ul> <li> <p>ведет подсчет и детальный отчет о скидках для центров доходов;</p> </li> <li> <p>ведет контроль над выводом информации из систем “Fidelio” и “Micros”;</p> </li> <li> <p>осуществляет подготовку ежедневного отчета по контролю над наличными средствами;</p> </li> <li> <p>осуществляет ввод поправок (корректировок) в систему “Fidelio” Департамента по управлению гостиничными номерами и работе с гостями;</p> </li> <li> <p>осуществляет очистку данных в файлах “Excel” по открытию нового месяца, производит ввод бюджетных данных;</p> </li> <li> <p>ведет подготовку информации о доходах будущих периодов и ввод данных в финансовые системы;</p> </li> <li> <p>ведет подсчет статистики по номерам;</p> </li> <li> <p>контролирует счета в системе “Pay-Masters” на ежемесячной основе;</p> </li> <li> <p>ежедневная сверка доходов между программами “Fidelio” и “1C Предприятие”;</p> </li> </ul> <strong>Требования:</strong> <ul> <li>высшее экономическое образование,</li> <li>уверенный пользователь Excel.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РК,</li> <li>Питание за счет компании,</li> <li>Карьерный рост,</li> <li>Обучение.</li> </ul>",Нет опыта,Полный день,Полная занятость,"Rixos Khadisha Shymkent, ТМ (Хадиша Отель, ТОО)","[{'name': 'Сбор и анализ информации'}, {'name': 'Fidelio'}, {'name': 'Excel'}, {'name': 'Способность к обучению и восприятию информации'}, {'name': 'Подготовка отчетов'}]",2023-05-24 08:44:49+03:00,,,
1,80828612,Специалист отдела контроля качества/Аудитор телефонных звонков (удаленно),Пермь,"<p><em><strong>Приветствуем, уважаемый кандидат!</strong></em><em><strong> Приглашаем тебя поработать среди лучших!</strong></em></p> <p><em>Мы входим в ТОП 5 среди 2560 подразделений СДЭК.</em></p> <p><em>Мы активно развиваемся и приглашаем профессионалов, стремящихся сделать карьеру в успешной, стабильной Компании с высоко востребованными на рынке услугами.</em></p> <p><strong><em>В настоящий момент у нас открыта вакансия: Специалист отдела контроля качества.</em></strong></p> <p><strong>Основные задачи:</strong></p> <ul> <li>Проверка корректности взаимодействия поддержки с клиентами: слушать звонки, читать чаты;</li> <li>Анализ результатов проведенных проверок, отчетность.</li> </ul> <p><strong>Пожелания:</strong></p> <ul> <li>Грамотная устная и письменная речь;</li> <li>Опыт работы в клиентском сервисе, отделе контроля качества или call-центре будет преимуществом;</li> <li>Стабильное Интернет- соединение, владение программами Word, Excel, Google таблицы;</li> <li>Готовность выполнить тестовое задание.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>EASY START – короткая стажировка и обучение;</li> <li>фиксированный оклад+ KPI ( 30 000 рублей/месяц);</li> <li>Полностью удаленный формат работы (присутствие в офисе не требуется);</li> <li>Удобный интерфейс для прослушки и оценки в единой CRM-системе;</li> <li>Обучение + доступ к материалам корпоративного университета СДЭК.</li> </ul> <p><em><strong>Откликайтесь и наш HR свяжется с Вами!</strong></em></p>",От 1 года до 3 лет,Удаленная работа,Полная занятость,СДЭК (ООО Надежный Контракт),[],2023-06-03 14:26:35+03:00,,30000.0,RUR
2,81373720,Контролёр-аудитор внешнего вида курьеров,Москва,"<strong>Обязанности:</strong> <ul> <li>Осуществление фотоконтроля работы курьеров на выделенной территории;</li> <li>Фиксация проверки в специальном приложении;</li> </ul> <strong>Требования:</strong> <ul> <li>Наличие смартфона с навигатором и мобильной связью;</li> <li>Ответственность, коммуникабельность;</li> <li>Внимательность, оперативность;</li> <li>Пунктуальность;</li> <li>Умение работать по заданным стандартам;</li> </ul> <strong>Условия:</strong> <ul> <li>Проверку можно осуществлять в открытом или закрытом формате;</li> <li>График работы - сменный: утренние, вечерние, ночные (1-2) смены;</li> <li>Обучение;</li> <li>Возможность карьерного роста;</li> <li>Оформление договора с СМЗ или с ИП;</li> <li>Выплаты 2 раза в месяц, по итогу проделанной работы</li> </ul>",Нет опыта,Гибкий график,Частичная занятость,White Cabs,"[{'name': 'Мобильность'}, {'name': 'Ответственный подход к работе'}, {'name': 'Трудоспособность'}]",2023-05-31 16:41:48+03:00,40000.0,50000.0,RUR
3,80687306,Аудитор,Новосибирск,"<p>В связи с увеличением количества аптек приглашаем на постоянную работу Аудитора.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Контроль соблюдения лицензионных требований;</li> <li>Проверка условий хранения;</li> <li>Проверка знаний сотрудников и заведующих аптекой;</li> <li>Проведение инвентаризаций;</li> <li>Подготовка к открытию новых аптек, обучение персонала на местах.</li> </ul> <strong>Требования:</strong> <ul> <li>Обязательно фармацевтическое образование;</li> <li>Опыт работы в аптеках от 2 лет;</li> <li>Готовность к командировкам от 70% рабочего времени;</li> <li>Активная жизненная позиция, хорошая самоорганизация;</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в крупнейшей фармацевтической компании;</li> <li>Официальное трудоустройство согласно закону;</li> <li>Заработная плата от 70000 рублей;</li> <li>5-ти дневная рабочая неделя, частые командировки в города присутствия компании;</li> <li>Возможность совершенствования своих знаний, навыков.</li> </ul>",От 1 года до 3 лет,Полный день,Полная занятость,"Живика, аптечная сеть",[],2023-05-19 07:44:47+03:00,70000.0,,RUR
4,81422611,Аудитор торговых точек,Ульяновск,"<p><strong><em>GLOBALTEAM - это стабильная международная Компания, работающая с лидерами FMCG - рынка на территории России с 2008 года. В ряде городов имеются филиалы и представительства.</em></strong></p> <p><strong><em>Компания реализует множество интересных проектов по нескольким направлениям: мерчандайзинг, тайные проверки, а также разные виды аудитов.</em></strong></p> <p><em>Ждем активных соискателей в нашу команду!</em></p> <p><br /><strong>Открыт набор сотрудников на аудит торговых точек. Проверка работы мерчендайзеров. Без работы с самим товаром. Только фото выкладки в напольных ларях и полках.</strong><br /><br />ПОДРАБОТКА, <strong>только фото</strong><br /><br /><strong>Обязанности:</strong></p> <ul> <li>Фото выкладки колбас и замороженных полуфабрикатов в напольных ларях и полках;</li> <li>Фотоотчетность осуществляется через специальное мобильное приложение;</li> <li>С товаром не работаем, не выкладываем, не поправляем, ничего не сверяем;</li> <li>Ручной ввод данных с фотографий и полок отсутствует, <strong>только фото</strong>.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Продукция - колбасы и замороженные полуфабрикаты</li> <li>Ежемесячная подработка на постоянной основе</li> <li>График работы: свободный, рабочие дни обсуждаете с координатором, работаете в <strong>любое удобное время</strong></li> <li>Объем работы - 4 гипермаркета, 20 дискаунтеров</li> <li>В работу можно взять все 24 точки или только любые удобные из них</li> <li><strong>Точки вы можете подобрать под себя сами, по удобству расположения</strong></li> <li><strong>Каждую точку нужно проверить до 15 июня!</strong></li> <li>Заработная плата за все точки - <strong>4 360 рублей</strong>,<strong> </strong>заработная плата за каждую точку отдельно: гипермаркет - 340 руб., дискаунтер - 150 руб.</li> <li>Примерное время вашей работы в торговой точке составит: в гипермаркете - 30 минут, в дискаунтере - 15 минут.</li> </ul>",Нет опыта,Гибкий график,Частичная занятость,GLOBALTEAM RUSSIA,"[{'name': 'Аудит'}, {'name': 'Аудиторские проверки'}, {'name': 'Фотография'}, {'name': 'Стационарный мерчандайзинг'}, {'name': 'Аудитор торговых точек'}]",2023-06-01 15:45:53+03:00,4360.0,4360.0,RUR
5,80313083,Аудитор торговых точек,Нижний Новгород,"<p><em>GLOBALTEAM - это стабильная международная Компания, работающая с лидерами FMCG - рынка на территории России с 2008 года. В ряде городов имеются филиалы и представительства.</em></p> <p><em>Компания реализует множество интересных проектов по нескольким направлениям: мерчандайзинг, тайные проверки, а также разные виды аудитов.</em></p> <p><em>Ждем активных соискателей в нашу команду!</em></p> <p><br />Открыт набор сотрудников на аудит торговых точек. Проверка работы мерчендайзеров. Без работы с самим товаром. Только фото выкладки в напольных ларях и полках.<br /><br />ПОДРАБОТКА, <strong>только фото</strong><br /><br /><strong>Обязанности:</strong></p> <ul> <li>Фото выкладки колбас и замороженных полуфабрикатов в напольных ларях и полках;</li> <li>Фотоотчетность осуществляется через специальное мобильное приложение;</li> <li>С товаром не работаем, не выкладываем, не поправляем, ничего не сверяем;</li> <li>Ручной ввод данных с фотографий и полок отсутствует, <strong>только фото</strong>.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Продукция - колбасы и замороженные полуфабрикаты;</li> <li>Ежемесячная подработка на постоянной основе;</li> <li>График работы: свободный, рабочие дни обсуждаете с координатором, работаете в <strong>любое удобное время</strong>;</li> <li>Объем работы на месяц - 36 торговых точек: гипермаркеты (6 точек) и дискаунтеры (30 точек);</li> <li>В работу можно взять все 36 магазинов или только любые удобные из них;</li> <li><strong>Точки вы можете подобрать под себя сами, по удобству расположения</strong>;</li> <li><strong>Каждую точку проверяем один раз в месяц</strong>;</li> <li>Заработная плата <strong>в месяц</strong> за полный объем - <strong>6 540 рублей</strong>,<strong> </strong>заработная плата за каждую точку отдельно: гипермаркет - 340 рублей, дискаунтер - 150 рублей;</li> <li>Примерное время вашей работы в торговой точке составит: в дискаунтере - 15 минут, в гипермаркете - 30 минут.</li> </ul>",Нет опыта,Гибкий график,Частичная занятость,GLOBALTEAM RUSSIA,"[{'name': 'Android'}, {'name': 'iOS'}, {'name': 'Ответственность'}, {'name': 'Мобильность'}, {'name': 'Мобильный мерчандайзинг'}, {'name': 'Мерчендайзинг'}, {'name': 'Торговый маркетинг'}, {'name': 'Торговля'}, {'name': 'Мониторинг цен'}, {'name': 'Выкладка товаров'}]",2023-05-11 15:49:55+03:00,6540.0,6540.0,RUR
6,80459623,Помощник аудитора в аудиторскую компанию,Ярославль,"<ul> <li>Редкая, высокопрофессиональная, экспертная, высоко востребованная профессия</li> <li>Следующий шаг для бухгалтера, имеющего опыт ведения бухгалтерского учета в компаниях малого бизнеса</li> <li>Обучение от профессионального аудитора со стажем более 15 лет – руководителя как в начале работы, так и в процессе</li> <li>Возможность роста внутри компании от помощника аудитора до руководителя аудиторского проекта или до заместителя директора</li> </ul> <p><strong>Обязанности:</strong></p> <p>Участие в аудиторских проверках в составе группы как помощник на территории клиентов или дистанционно.</p> <ul> <li> <p>Выявление ошибок в оформлении первичной документации и ведении учёта.</p> </li> <li> <p>Заполнение документов в аудиторской программе</p> </li> <li> <p>Заполнение документов в таблицах ворд и эксель</p> </li> <li> <p>Написание замечаний</p> </li> <li> <p>Работа с первичными документами по заданию</p> </li> <li> <p>Сбор и систематизация информации из различных источников в соответствии с инструкциями руководителя рабочей группы, документирование результатов</p> </li> <li> <p>Написание отчетов, консультационных писем, рекомендаций клиентам</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>высшее/неоконченное высшее экономическое или юридическое образование</p> </li> <li> <p>опыт работы в области общего аудита или бухгалтерии от года будет вашим преимуществом</p> </li> <li> <p>готовность к командировкам в составе рабочей группы</p> </li> <li> <p>интерес и желание развиваться в области аудита</p> </li> <li> <p>знание основ бухгалтерского учета, налогового и гражданского законодательства</p> </li> <li> <p>свободное владение MS Office, правовыми базами данных</p> </li> <li> <p>активность, коммуникабельность, умение работать в команде</p> </li> <li> <p>уверенный пользователь 1:С и Excel</p> <p><strong>Личностные качества: </strong></p> <p>- усидчивость</p> <p>- внимательность к деталям, скрупулезность</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p><strong>Варианты карьерного/профессионального роста:</strong></p> </li> </ul> <p>Помощник аудитора 1, 2, 3 уровня</p> <p>Аудитор</p> <p>Руководитель аудиторской проверки</p> <p>Заместитель директора аудиторской компании</p> <ul> <li><strong>Куратор: </strong>Директор компании – аудитор со стажем более 15 лет</li> <li><strong>Система оплаты труда: </strong>Почасовая – от 375 рублей за час, за выезд к клиенту от 3000 рублей/день</li> <li>Работа по договору подряда</li> <li>Занятость от 6 часов в день на регулярной основе</li> <li> <p>Удаленное рабочее место (дистанционный формат)</p> </li> <li> <p>Возможны нечастые командировки (в Москву)</p> </li> <li> <p>Возможность подрабатывать аудитором для главного бухгалтера, финансового директора или тому, кто учится на экономическом факультете в свободное от основной работы или учебы время</p> </li> <li> <p>Возможность заработка от 60 тысяч рублей в месяц и выше</p> </li> </ul>",От 1 года до 3 лет,Удаленная работа,Частичная занятость,БК БИЛЛИОН,"[{'name': 'Деловая переписка'}, {'name': 'Пользователь ПК'}, {'name': '1С: Предприятие: Бухгалтерский Учет'}, {'name': 'Excel'}, {'name': 'Удаленная работа'}, {'name': 'Готовность к командировкам'}, {'name': 'Консультант плюс'}, {'name': 'Налоговое законодательство'}]",2023-05-15 18:11:29+03:00,60000.0,120000.0,RUR
7,81377502,Старший аудитор,Москва,"<p><em><strong>Мы помогаем нашим клиентам выходить на новый уровень безопасности и эффективности за счет цифровой трансформации и создаем продукты и решения, которые никто никогда не делал, благодаря талантам и увлеченности наших сотрудников.</strong></em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Проведение внутреннего аудита по бизнес-процессам организации (планирование, проведение, документирование, подготовка отчета и рекомендаций) самостоятельно или в составе группы</li> <li>Проведение / участие тематических проверках и служебных расследованиях самостоятельно или в составе группы</li> <li>Оценка и анализ эффективности действующей системы внутреннего контроля и системы управления рисками в Компании. Разработка мероприятий по повышению их эффективности</li> <li>Контроль исполнения рекомендаций внутреннего аудита и оценка их эффективности</li> <li>Контроль и оценка закупочных процедур</li> <li>Ведение отчетности по департаменту внутреннего аудита</li> <li>Участие в формировании методологической базы для работы департамента внутреннего аудита</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы во внутреннем аудите крупных компаний от 3-х лет</li> <li>Знание и применение международных основ профессиональной практики внутреннего аудита</li> <li>Понимание принципов построения эффективной СВК и СУР</li> <li>Знание принципов, процедур и практики бухгалтерского, производственного, налогового и управленческого учета</li> <li>Уверенный пользователь MS Office (стандартный пакет), 1C</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в крупной динамично развивающейся IT-компании</li> <li>Комфортный офис</li> <li>Пятидневная рабочая неделя пн. - пт. с 10:00 до 19:00;</li> <li>Оформление в соответствии с ТК РФ</li> <li>Оплата 14 больничных дней в год по 100% ставке</li> <li>Развитая система годового премирования по результатам выполнения KPI</li> <li>Полис ДМС после испытательного срока</li> <li>Компенсация затрат на мобильную связь</li> <li>Обширная спортивная и социальная жизнь с доступом к ресурсам всей Группы АФК Система ​​​​​​​ ​​​​​​​​​​​​​​</li> </ul> <p><em><strong>Можем невозможное, воплощаем задуманное!</strong></em></p> <p> </p>",От 3 до 6 лет,Полный день,Полная занятость,Sitronics Group,[],2023-06-02 18:47:41+03:00,150000.0,230000.0,RUR
8,81416438,Аудитор торговых точек,Кемерово,"<p><em>GLOBALTEAM - это стабильная международная Компания, работающая с лидерами FMCG - рынка на территории России с 2008 года. В ряде городов имеются филиалы и представительства.</em></p> <p><em>Компания реализует множество интересных проектов по нескольким направлениям: мерчандайзинг, тайные проверки, а также разные виды аудитов.</em></p> <p><em>Ждем активных соискателей в нашу команду!</em></p> <p><br />Открыт набор сотрудников на аудит торговых точек. Проверка работы мерчендайзеров. Без работы с самим товаром. Только фото выкладки в напольных ларях и полках.<br /><br />ПОДРАБОТКА, <strong>только фото</strong><br /><br /><strong>Обязанности:</strong></p> <ul> <li>Фото выкладки колбас и замороженных полуфабрикатов в напольных ларях и полках;</li> <li>Фотоотчетность осуществляется через специальное мобильное приложение;</li> <li>С товаром не работаем, не выкладываем, не поправляем, ничего не сверяем;</li> <li>Ручной ввод данных с фотографий и полок отсутствует, <strong>только фото</strong>.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Продукция - колбасы и замороженные полуфабрикаты</li> <li>Ежемесячная подработка на постоянной основе</li> <li>График работы: свободный, рабочие дни обсуждаете с координатором, работаете в <strong>любое удобное время</strong></li> <li>Объем работы - 4 гипермаркета, 20 дискаунтеров</li> <li>В работу можно взять все 24 точки или только любые удобные из них</li> <li><strong>Точки вы можете подобрать под себя сами, по удобству расположения</strong></li> <li><strong>Каждую точку нужно проверить до 15 июня!</strong></li> <li>Заработная плата за все точки - <strong>4360 рублей</strong>,<strong> </strong>заработная плата за каждую точку отдельно: гипермаркет - 340 руб., дискаунтер - 150 руб.</li> <li>Примерное время вашей работы в торговой точке составит: в гипермаркете - 30 минут, в дискаунтере - 15 минут.</li> </ul>",Нет опыта,Гибкий график,Частичная занятость,GLOBALTEAM RUSSIA,"[{'name': 'Мерчандайзинг'}, {'name': 'Мобильный мерчандайзинг'}, {'name': 'Фото'}, {'name': 'Работа с региональными сетями'}, {'name': 'Стационарный мерчандайзинг'}, {'name': 'Мобильность'}, {'name': 'Фотография'}, {'name': 'Аудит торговых точек'}]",2023-06-01 14:23:54+03:00,4360.0,4360.0,RUR
9,81406624,Аудитор - ревизор - экономист,Казань,"<strong>В крупную торговую компанию оптовой и розничной торговли с собсвенным производстовм требуется аудитор-экономист- аналитик,</strong> <p><strong>Работа на территории работодателя в г. Октябрьский, РБ</strong></p> <p><strong>Обязанности:</strong></p> <p>- осуществление проверок деятельности структурных подразделений, осуществление внутреннего финансового аудита,</p> <p>- аудитирование работы цехов собственного производства,</p> <ul> <li>работа с расходной частью бюджета компании, мониторинг и аудит;</li> <li>аудитирование закупов и счетов;</li> <li>проверка расчетов наценки на товары,</li> <li>подготовка экономических отчетов о расходах и доходах ( БДР) с целью увеличения прибыли,</li> <li>подготовка экономического анализа для руководства компании.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>отличное умение пользоваться, знание формул Excel, знание программы 1с.</li> <li>опыт работы экономистом от 3 лет;</li> <li>высшее экономическое образование;</li> <li>умение и желание работать с большими данными;</li> <li>любовь к аналитике</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Оформление по ТК;</p> </li> <li> <p>Полный рабочий день (пн-пт с 8-30 до 17-30);</p> </li> <li> <p>Размер заработной платы обсуждается на собеседовании с успешным кандидатом.</p> </li> <li> <p>Готовы рассмотреть вопрос релокации кандидата,</p> </li> <li>Готовы рассмотреть график работы 4/2</li> </ul>",От 3 до 6 лет,Сменный график,Полная занятость,Дуэт,[],2023-06-01 12:18:49+03:00,70000.0,,RUR
